IdDestino,Destino,DescrProducto,dtFecha,AgrupProducto,Presentacion,Fisico,Transito,Minimo,Optimo,Capacidad,RegionDestino,bEsTerminal,bEsPlanta,dtCreacion,dtActualizacion,vc20UsuarioCreacion,vc20UsuarioActualizacion
EB35,Acapulco,CPC30R 50k,00:00.0,Gris,Sacos,795.95,465.25,964.8825679,1461.632834,2789.362657,Centro,0,0,20:18.6,20:18.6,System.R_Inventario,System
EA95,Agua Prieta (Virtual),CPC30R 25k,00:00.0,Gris,Sacos,18.07,0,0,0,0,Pacífico,0,0,20:18.6,20:18.6,System.R_Inventario,System
EA95,Agua Prieta (Virtual),CPC40 BB,00:00.0,Gris,Sacos,18.62,35.76,0,0,0,Pacífico,0,0,20:18.6,20:18.6,System.R_Inventario,System
EA95,Agua Prieta (Virtual),Multiplast 40k,00:00.0,Multiplast,Sacos,49.6,0,0,0,0,Pacífico,0,0,20:18.6,20:18.6,System.R_Inventario,System
EB81,Aguascalientes,Multiplast 40k,00:00.0,Multiplast,Sacos,98.88,0,46.80445609,55.22109025,165.8081422,Noreste,0,0,20:18.6,20:18.6,System.R_Inventario,System
EC29,Alpensa,CPC40 BB,00:00.0,Gris,Sacos,173.01,0,0,0,0,Sureste,0,0,20:18.6,20:18.6,System.R_Inventario,System
EB36,Apizaco,Bco CPC30R 25k,00:00.0,Blanco,Sacos,107.38,0,18.11517937,21.94498899,28.47903881,Sureste,0,0,20:18.6,20:18.6,System.R_Inventario,System
EB36,Apizaco,Impercem 50k,00:00.0,Impercem,Sacos,44.5,0,17.62624605,26.00503408,53.58485148,Sureste,0,0,20:18.6,20:18.6,System.R_Inventario,System
EB36,Apizaco,Mortero 50k,00:00.0,Mortero,Sacos,135.95,133,163.9643607,232.0397515,257.769868,Sureste,0,0,20:18.6,20:18.6,System.R_Inventario,System
EC08,Arriaga,Mortero 50k,00:00.0,Mortero,Sacos,5.7,0,4.499765904,5.906061883,8.659269511,Sureste,0,0,20:18.6,20:18.6,System.R_Inventario,System
EC08,Arriaga,Multiplast 40k,00:00.0,Multiplast,Sacos,20.6,0,5.508139709,7.063284832,10.59976613,Sureste,0,0,20:18.6,20:18.6,System.R_Inventario,System
EB46,Atlacomulco,Multiplast 40k,00:00.0,Multiplast,Sacos,75.32,0,37.71360277,45.52693986,115.7667247,Centro,0,0,20:18.6,20:18.6,System.R_Inventario,System
EB90,Campeche,Bco CPC30R,00:00.0,Blanco,Granel,-46.13,0,0,0,0,Sureste,0,0,20:18.6,20:18.6,System.R_Inventario,System
EB90,Campeche,Mortero 50k,00:00.0,Mortero,Sacos,31.45,0,5.532384811,8.257386647,14.2750895,Sureste,0,0,20:18.6,20:18.6,System.R_Inventario,System
EB90,Campeche,Multiplast 40k,00:00.0,Multiplast,Sacos,24.12,0,5.212537974,7.491094112,13.44979582,Sureste,0,0,20:18.6,20:18.6,System.R_Inventario,System
EB91,Cancún,Multiplast 40k,00:00.0,Multiplast,Sacos,42.92,0,29.7491094,39.87885501,41.80391507,Sureste,0,0,20:18.6,20:18.6,System.R_Inventario,System
EB96,CD Flamboyanes,Bco CPC30R BB,00:00.0,Blanco,Sacos,431.08,0,0,0,0,Sureste,0,0,20:18.6,20:18.6,System.R_Inventario,System
EB96,CD Flamboyanes,Bco CPO30R BB,00:00.0,Blanco,Sacos,0.1,0,0,0,0,Sureste,0,0,20:18.6,20:18.6,System.R_Inventario,System
EB96,CD Flamboyanes,CPC30R 50k,00:00.0,Gris,Sacos,12760.02,0,0,0,0,Sureste,0,0,20:18.6,20:18.6,System.R_Inventario,System
EB96,CD Flamboyanes,CPC30R BB,00:00.0,Gris,Sacos,12.49,0,0,0,0,Sureste,0,0,20:18.6,20:18.6,System.R_Inventario,System
EB96,CD Flamboyanes,CPC40 BB,00:00.0,Gris,Sacos,20060.35,0,0,0,0,Sureste,0,0,20:18.6,20:18.6,System.R_Inventario,System
EB96,CD Flamboyanes,CPC40RS,00:00.0,Gris,Granel,-62.53,0,0,0,0,Sureste,0,0,20:18.6,20:18.6,System.R_Inventario,System
EB95,CD Petempich,CPC30R 50k,00:00.0,Gris,Sacos,4.1,0,0,0,0,Sureste,0,0,20:18.6,20:18.6,System.R_Inventario,System
EB52,CD Seybaplaya,Bco CPC30R BB,00:00.0,Blanco,Sacos,1213.02,0,0,0,0,Sureste,0,0,20:18.6,20:18.6,System.R_Inventario,System
